Date,Visitor/Neutral,PTS,Home/Neutral,PTS,Home_team_wins
"Thu, Jan 14, 2021",Houston Rockets,109,San Antonio Spurs,105,0
"Thu, Jan 14, 2021",Charlotte Hornets,108,Toronto Raptors,111,1
"Thu, Jan 14, 2021",Golden State Warriors,104,Denver Nuggets,114,1
"Thu, Jan 14, 2021",Indiana Pacers,111,Portland Trail Blazers,87,0
"Fri, Jan 15, 2021",Orlando Magic,97,Boston Celtics,124,1
"Fri, Jan 15, 2021",New York Knicks,103,Cleveland Cavaliers,106,1
"Fri, Jan 15, 2021",Dallas Mavericks,109,Milwaukee Bucks,112,1
"Fri, Jan 15, 2021",Chicago Bulls,125,Oklahoma City Thunder,127,1
"Fri, Jan 15, 2021",Atlanta Hawks,92,Utah Jazz,116,1
"Fri, Jan 15, 2021",New Orleans Pelicans,95,Los Angeles Lakers,112,1
"Fri, Jan 15, 2021",Los Angeles Clippers,138,Sacramento Kings,100,0
"Sat, Jan 16, 2021",Houston Rockets,91,San Antonio Spurs,103,1
"Sat, Jan 16, 2021",Orlando Magic,115,Brooklyn Nets,122,1
"Sat, Jan 16, 2021",Charlotte Hornets,113,Toronto Raptors,116,1
"Sat, Jan 16, 2021",Philadelphia 76ers,104,Memphis Grizzlies,106,1
"Sat, Jan 16, 2021",Detroit Pistons,120,Miami Heat,100,0
"Sat, Jan 16, 2021",Atlanta Hawks,106,Portland Trail Blazers,112,1
"Sun, Jan 17, 2021",New York Knicks,105,Boston Celtics,75,0
"Sun, Jan 17, 2021",Chicago Bulls,117,Dallas Mavericks,101,0
"Sun, Jan 17, 2021",Utah Jazz,109,Denver Nuggets,105,0
"Sun, Jan 17, 2021",New Orleans Pelicans,128,Sacramento Kings,123,0
"Sun, Jan 17, 2021",Indiana Pacers,96,Los Angeles Clippers,129,1
"Mon, Jan 18, 2021",Orlando Magic,84,New York Knicks,91,1
"Mon, Jan 18, 2021",Minnesota Timberwolves,97,Atlanta Hawks,108,1
"Mon, Jan 18, 2021",San Antonio Spurs,125,Portland Trail Blazers,104,0
"Mon, Jan 18, 2021",Phoenix Suns,104,Memphis Grizzlies,108,1
"Mon, Jan 18, 2021",Milwaukee Bucks,123,Brooklyn Nets,125,1
"Mon, Jan 18, 2021",Dallas Mavericks,93,Toronto Raptors,116,1
"Mon, Jan 18, 2021",Houston Rockets,120,Chicago Bulls,125,1
"Mon, Jan 18, 2021",Detroit Pistons,107,Miami Heat,113,1
"Mon, Jan 18, 2021",Golden State Warriors,115,Los Angeles Lakers,113,0
"Tue, Jan 19, 2021",Oklahoma City Thunder,101,Denver Nuggets,119,1
"Tue, Jan 19, 2021",New Orleans Pelicans,102,Utah Jazz,118,1
"Wed, Jan 20, 2021",Brooklyn Nets,135,Cleveland Cavaliers,147,1
"Wed, Jan 20, 2021",Dallas Mavericks,124,Indiana Pacers,112,0
"Wed, Jan 20, 2021",Boston Celtics,109,Philadelphia 76ers,117,1
"Wed, Jan 20, 2021",Detroit Pistons,115,Atlanta Hawks,123,1
"Wed, Jan 20, 2021",Miami Heat,111,Toronto Raptors,102,0
"Wed, Jan 20, 2021",Orlando Magic,97,Minnesota Timberwolves,96,0
"Wed, Jan 20, 2021",Phoenix Suns,109,Houston Rockets,103,0
"Wed, Jan 20, 2021",San Antonio Spurs,99,Golden State Warriors,121,1
"Wed, Jan 20, 2021",Sacramento Kings,96,Los Angeles Clippers,115,1
"Thu, Jan 21, 2021",Los Angeles Lakers,113,Milwaukee Bucks,106,0
"Thu, Jan 21, 2021",New York Knicks,119,Golden State Warriors,104,0
"Thu, Jan 21, 2021",New Orleans Pelicans,118,Utah Jazz,129,1
"Fri, Jan 22, 2021",Chicago Bulls,123,Charlotte Hornets,110,0
"Fri, Jan 22, 2021",Houston Rockets,103,Detroit Pistons,102,0
"Fri, Jan 22, 2021",Orlando Magic,118,Indiana Pacers,120,1
"Fri, Jan 22, 2021",Brooklyn Nets,113,Cleveland Cavaliers,125,1
"Fri, Jan 22, 2021",Boston Celtics,110,Philadelphia 76ers,122,1
"Fri, Jan 22, 2021",Miami Heat,81,Toronto Raptors,101,1
"Fri, Jan 22, 2021",Atlanta Hawks,116,Minnesota Timberwolves,98,0
"Fri, Jan 22, 2021",Dallas Mavericks,122,San Antonio Spurs,117,0
"Fri, Jan 22, 2021",Oklahoma City Thunder,106,Los Angeles Clippers,120,1
"Fri, Jan 22, 2021",Denver Nuggets,130,Phoenix Suns,126,0
"Fri, Jan 22, 2021",New York Knicks,94,Sacramento Kings,103,1
"Sat, Jan 23, 2021",Miami Heat,124,Brooklyn Nets,128,1
"Sat, Jan 23, 2021",Philadelphia 76ers,114,Detroit Pistons,110,0
"Sat, Jan 23, 2021",New Orleans Pelicans,110,Minnesota Timberwolves,120,1
"Sat, Jan 23, 2021",Los Angeles Lakers,101,Chicago Bulls,90,0
"Sat, Jan 23, 2021",Houston Rockets,133,Dallas Mavericks,108,0
"Sat, Jan 23, 2021",Denver Nuggets,120,Phoenix Suns,112,0
"Sat, Jan 23, 2021",Golden State Warriors,108,Utah Jazz,127,1
"Sun, Jan 24, 2021",Toronto Raptors,107,Indiana Pacers,102,0
"Sun, Jan 24, 2021",Oklahoma City Thunder,100,Los Angeles Clippers,108,1
"Sun, Jan 24, 2021",Cleveland Cavaliers,103,Boston Celtics,141,1
"Sun, Jan 24, 2021",Charlotte Hornets,107,Orlando Magic,104,0
"Sun, Jan 24, 2021",Atlanta Hawks,115,Milwaukee Bucks,129,1
"Sun, Jan 24, 2021",Washington Wizards,101,San Antonio Spurs,121,1
"Sun, Jan 24, 2021",New York Knicks,113,Portland Trail Blazers,116,1
"Mon, Jan 25, 2021",Philadelphia 76ers,104,Detroit Pistons,119,1
"Mon, Jan 25, 2021",Toronto Raptors,114,Indiana Pacers,129,1
"Mon, Jan 25, 2021",Charlotte Hornets,108,Orlando Magic,117,1
"Mon, Jan 25, 2021",Miami Heat,85,Brooklyn Nets,98,1
"Mon, Jan 25, 2021",Los Angeles Lakers,115,Cleveland Cavaliers,108,0
"Mon, Jan 25, 2021",Denver Nuggets,117,Dallas Mavericks,113,0
"Mon, Jan 25, 2021",Boston Celtics,119,Chicago Bulls,103,0
"Mon, Jan 25, 2021",Minnesota Timberwolves,108,Golden State Warriors,130,1
