Home,Away,PTS_home,PTS_away,HOME_TEAM_WINS,pts_poss_off1920.x,pts_poss_def1920.x,efg_percent_off1920.x,efg_percent_def1920.x,tov_percent_off1920.x,tov_percent_def1920.x,orb_percent_off1920.x,orb_percent_def1920.x,ft_rate_off1920.x,ft_rate_def1920.x,pts_poss_off1920.y,pts_poss_def1920.y,efg_percent_off1920.y,efg_percent_def1920.y,tov_percent_off1920.y,tov_percent_def1920.y,orb_percent_off1920.y,orb_percent_def1920.y,ft_rate_off1920.y,ft_rate_def1920.y,efg_diff_off,efg_diff_def,tov_diff_off,tov_diff_def,orb_diff_off,orb_diff_def,ft_diff_off,ft_diff_def,pts_poss_off,pts_poss_def,estimate,pred,accuracy
Sacramento Kings,Golden State Warriors,114,113,1,195.12,199.98000000000002,93.42000000000002,96.12,26.37,23.58,46.71,42.120000000000005,38.519999999999996,32.85,181.89000000000001,206.73000000000002,84.33000000000001,104.94,24.75,30.96,40.95,47.43,36.99000000000001,42.480000000000004,-11.519999999999982,11.789999999999992,-4.59,-1.1700000000000017,-0.7199999999999989,1.1700000000000017,-3.960000000000008,-4.140000000000008,-11.610000000000014,18.090000000000003,0.5242234102374949,1,1
Cleveland Cavaliers,Indiana Pacers,116,106,1,200.7,194.76000000000002,100.35,98.1,30.33,28.439999999999998,48.6,42.39,30.419999999999998,30.6,200.79000000000002,189.09,99.81,93.24000000000001,24.93,29.34,40.769999999999996,41.760000000000005,30.060000000000002,35.64,7.109999999999985,-1.710000000000008,0.9899999999999984,3.509999999999998,6.839999999999996,1.6200000000000045,-5.220000000000002,0.5399999999999991,11.609999999999985,-6.030000000000001,0.6134552941530863,1,1
Charlotte Hornets,Toronto Raptors,109,112,0,191.51999999999998,199.89,92.88,99.36,26.189999999999998,29.880000000000003,44.370000000000005,47.879999999999995,29.159999999999997,32.58,193.41000000000003,196.65,96.48,98.91,27.270000000000003,33.48,42.3,52.47,29.07,28.89,-6.030000000000001,2.8799999999999955,-7.289999999999999,2.6099999999999994,-8.099999999999994,5.579999999999998,0.269999999999996,3.509999999999998,-5.130000000000024,6.479999999999961,0.4312695579014081,0,1
Miami Heat,New Orleans Pelicans,92,114,0,199.35000000000002,192.96,101.25,92.69999999999999,31.14,28.71,38.25,45.36,41.31,44.1,193.86,192.87,94.77000000000001,96.12,29.97,28.53,48.6,40.77,37.53,32.040000000000006,5.1299999999999955,-2.0700000000000216,2.6099999999999994,-1.259999999999998,-2.520000000000003,-3.240000000000002,9.269999999999996,6.57,6.480000000000018,-0.9000000000000057,0.5489410094112782,1,0
Milwaukee Bucks,Dallas Mavericks,112,128,0,205.74,197.10000000000002,99.36,93.06,25.47,22.05,46.620000000000005,40.95,37.17,30.24,211.68,199.53,99.53999999999999,96.84,19.8,25.560000000000002,38.25,44.010000000000005,41.76,35.730000000000004,2.519999999999996,-6.47999999999999,-0.09000000000000341,2.25,2.6099999999999994,2.700000000000003,1.4399999999999977,-11.52,6.210000000000008,-14.579999999999984,0.49736543383648946,0,1
Minnesota Timberwolves,Memphis Grizzlies,104,123,0,192.15,202.05,89.1,97.74000000000001,24.660000000000004,28.08,49.050000000000004,51.75,33.660000000000004,34.56,195.75,200.79000000000002,93.24000000000001,93.42000000000002,24.48,24.84,45,45.54,34.65,43.2,-4.320000000000022,4.5,-0.17999999999999616,3.599999999999998,3.510000000000005,6.75,-9.54,-0.0899999999999963,-8.640000000000015,6.300000000000011,0.5533774850487557,1,0
Utah Jazz,Phoenix Suns,111,92,1,202.68,196.47000000000003,97.38,92.97,27.54,21.15,50.13,42.3,35.82,30.510000000000005,197.37,193.23000000000002,95.67,93.6,24.660000000000004,26.55,41.4,41.85,33.66,43.2,3.780000000000001,-2.700000000000003,0.9899999999999984,-3.510000000000005,8.280000000000001,0.8999999999999986,-7.380000000000003,-3.1499999999999915,9.449999999999989,-0.8999999999999773,0.6112010098770323,1,1
Atlanta Hawks,Orlando Magic,116,107,1,208.07999999999998,201.42000000000002,99.81,92.34,28.35,22.770000000000003,45.629999999999995,47.16,49.68,43.2,201.87,195.75,93.69,97.56,23.580000000000002,27.36,45.81,41.49000000000001,44.55,29.610000000000003,2.25,-1.3499999999999943,0.990000000000002,-0.8099999999999987,4.139999999999986,1.3499999999999943,20.069999999999997,-1.3499999999999943,12.329999999999984,-0.44999999999998863,0.4692608264810409,0,0
Brooklyn Nets,Washington Wizards,119,114,1,196.92000000000002,187.47000000000003,96.39,87.30000000000001,28.98,25.740000000000002,46.800000000000004,50.67,39.6,31.14,195.48,207.09,95.67,97.74000000000001,25.65,25.83,41.94,48.51,33.03,48.870000000000005,-1.3500000000000085,-8.36999999999999,3.150000000000002,0.09000000000000341,-1.7099999999999937,8.730000000000004,-9.270000000000003,-1.8900000000000006,-10.169999999999987,-8.009999999999962,0.4919834517209959,0,0
Detroit Pistons,New York Knicks,99,91,1,192.42000000000002,203.94,93.15,98.82,26.910000000000004,25.11,46.62,42.75,31.77,41.040000000000006,194.85000000000002,202.41,94.13999999999999,94.41,27.900000000000002,23.040000000000003,47.61,49.230000000000004,35.370000000000005,39.06,-1.259999999999991,4.680000000000007,3.870000000000001,-2.7900000000000027,-2.6100000000000065,-4.859999999999999,-7.290000000000003,5.670000000000002,-9.98999999999998,9.089999999999975,0.6316929806149048,1,1
Chicago Bulls,Houston Rockets,104,91,1,188.64,205.01999999999998,93.87,101.34,31.14,29.88,44.64,44.46000000000001,37.71,43.2,204.3,211.32,100.08,101.07,26.55,26.19,40.5,55.44,41.94,31.14,-7.199999999999989,1.2600000000000051,4.949999999999999,3.3299999999999983,-10.799999999999997,3.960000000000008,6.57,1.2600000000000051,-22.680000000000007,0.7199999999999704,0.44753428585963184,0,0
Los Angeles Lakers,Los Angeles Clippers,131,106,1,208.62,193.41000000000003,103.05000000000001,93.87,28.44,25.92,47.52,43.47,36.09,32.85,201.15,204.39000000000001,96.57000000000001,96.66,28.080000000000002,24.75,46.53,46.08,41.85,44.1,6.390000000000015,-2.700000000000003,3.6900000000000013,-2.16,1.4400000000000048,-3.0600000000000023,-8.009999999999998,-9,4.22999999999999,-7.739999999999981,0.6702392998553585,1,1
Portland Trail Blazers,Sacramento Kings,106,121,0,204.3,207.99,96.03,98.55000000000001,19.98,23.4,44.730000000000004,44.370000000000005,31.230000000000004,36,195.12,199.98000000000002,93.42000000000002,96.12,26.37,23.58,46.71,42.120000000000005,38.519999999999996,32.85,-0.09000000000000341,5.1299999999999955,-3.599999999999998,-2.9700000000000024,2.6099999999999994,-2.3399999999999963,-1.6199999999999974,-2.519999999999996,4.319999999999993,12.870000000000005,0.5957137343251105,1,0
Charlotte Hornets,Toronto Raptors,100,111,0,191.51999999999998,199.89,92.88,99.36,26.189999999999998,29.880000000000003,44.370000000000005,47.879999999999995,29.159999999999997,32.58,193.41000000000003,196.65,96.48,98.91,27.270000000000003,33.48,42.3,52.47,29.07,28.89,-6.030000000000001,2.8799999999999955,-7.289999999999999,2.6099999999999994,-8.099999999999994,5.579999999999998,0.269999999999996,3.509999999999998,-5.130000000000024,6.479999999999961,0.4312695579014081,0,1
Cleveland Cavaliers,Indiana Pacers,107,104,1,200.7,194.76000000000002,100.35,98.1,30.33,28.439999999999998,48.6,42.39,30.419999999999998,30.6,200.79000000000002,189.09,99.81,93.24000000000001,24.93,29.34,40.769999999999996,41.760000000000005,30.060000000000002,35.64,7.109999999999985,-1.710000000000008,0.9899999999999984,3.509999999999998,6.839999999999996,1.6200000000000045,-5.220000000000002,0.5399999999999991,11.609999999999985,-6.030000000000001,0.6134552941530863,1,1
San Antonio Spurs,Oklahoma City Thunder,108,121,0,201.06,197.64,96.03,94.68,23.22,20.61,40.77,39.959999999999994,33.21,31.23,195.75,194.04000000000002,95.94,94.05000000000001,27.27,26.1,42.93,44.730000000000004,38.07000000000001,31.5,1.9799999999999898,-1.259999999999991,-2.8800000000000026,-6.66,-3.960000000000001,-2.970000000000006,1.7100000000000009,-6.840000000000007,7.019999999999982,1.8899999999999864,0.5740268311561242,1,0
Milwaukee Bucks,Dallas Mavericks,102,112,0,205.74,197.10000000000002,99.36,93.06,25.47,22.05,46.620000000000005,40.95,37.17,30.24,211.68,199.53,99.53999999999999,96.84,19.8,25.560000000000002,38.25,44.010000000000005,41.76,35.730000000000004,2.519999999999996,-6.47999999999999,-0.09000000000000341,2.25,2.6099999999999994,2.700000000000003,1.4399999999999977,-11.52,6.210000000000008,-14.579999999999984,0.49736543383648946,0,1
Minnesota Timberwolves,Memphis Grizzlies,105,107,0,192.15,202.05,89.1,97.74000000000001,24.660000000000004,28.08,49.050000000000004,51.75,33.660000000000004,34.56,195.75,200.79000000000002,93.24000000000001,93.42000000000002,24.48,24.84,45,45.54,34.65,43.2,-4.320000000000022,4.5,-0.17999999999999616,3.599999999999998,3.510000000000005,6.75,-9.54,-0.0899999999999963,-8.640000000000015,6.300000000000011,0.5533774850487557,1,0
